x0,x1,x2,x3,x4,treatment,outcome
0.3047170798,-1.039984106,0.7504511958,0.9405647164,-1.951035189,0,3252.793077
-1.302179507,0.1278404032,-0.3162425923,-0.0168011575,-0.8530439276,0,2183.027873
0.8793979749,0.7777919354,0.06603069756,1.127241207,0.4675093423,0,4960.217818
-0.8592924629,0.3687507841,-0.9588826008,0.8784503013,-0.04992591099,1,10179.61972
-0.1848623635,-0.6809295444,1.222541339,-0.1545294821,-0.4283278222,0,6105.960367
-0.3521335505,0.5323091856,0.3654440644,0.4127326116,0.430821003,0,6029.556933
2.141647601,-0.4064150164,-0.5122427291,-0.8137727282,0.6159794226,1,8775.07943
1.128972293,-0.1139474577,-0.840156477,-0.8244812157,0.6505927878,1,5590.152466
0.7432541712,0.5431542683,-0.6655097073,0.2321613231,0.1166858091,1,10255.57517
0.2186885967,0.8714287779,0.2235955488,0.6789135631,0.06757906949,0,3866.791611
0.2891193987,0.6312882258,-1.45715582,-0.3196712164,-0.4703726543,1,9655.398376
-0.6388778482,-0.2751422512,1.494941311,-0.8658311157,0.9682783546,0,1474.320415
-1.682869772,-0.33488503,0.1627530651,0.5862223314,0.7112265798,0,-1710.825658
0.7933472352,-0.3487250722,-0.4623517927,0.8579758813,-0.1913043249,0,5061.137832
-1.275686323,-1.133287214,-0.919452286,0.4971607441,0.1424257361,0,675.5709584
0.6904853541,-0.4272526463,0.1585396911,0.625590394,-0.3093465397,1,2505.418303
0.4567752376,-0.6619259411,-0.3630538466,-0.381737894,-1.195839646,0,5007.583468
0.4869724808,-0.4694023402,0.01249411873,0.4807466589,0.446531176,0,7847.461942
0.665385109,-0.09848548451,-0.423298312,-0.07971821091,-1.687334434,0,7337.445275
-1.447112472,-1.322699612,-0.9972468276,0.3997742267,-0.9054790554,0,1265.728719
-0.378162554,1.299228298,-0.3562639711,0.7375155685,-0.93361768,1,6649.73187
-0.2054375579,-0.9500220549,-0.3390330759,0.8403081375,-1.727320423,0,3465.650521
0.4344236435,0.2377356023,-0.5941499557,-1.446057854,0.07212950771,0,7082.530665
-0.5294927091,0.2326762114,0.02185214552,1.601778891,-0.2393556275,0,2892.402033
-1.023497493,0.179275635,0.219996684,1.359187575,0.8351112459,1,5909.918641
0.3568710591,1.463302891,-1.188763054,-0.6397515327,-0.9265759414,0,7953.093082
-0.3898098032,-1.376686148,0.6351509468,-0.2222226971,-1.470806295,1,5753.661993
-1.015579081,0.3135138475,0.8381265679,1.996730892,2.913862466,1,9198.219806
0.4144094333,-0.98953812,-2.132046281,0.2677114623,-0.8129410953,0,7030.09451
-0.4153572602,-0.6120967991,-0.1407908864,1.065980231,0.1570485674,1,7340.672703
-0.158634837,-1.035653753,-1.674682945,-0.4863079091,-0.05378255082,0,7338.164238
1.767929914,0.1302745215,0.982739511,-0.4992955985,-1.184943766,1,10210.11239
-0.9651167622,-0.7252260645,2.128469732,-0.8213866792,0.8384892037,0,8768.252143
-0.9029271781,0.9315730129,0.3849509661,-0.1566378977,-0.04076252614,1,5571.960317
-0.6547876954,0.4460722015,-0.4549834803,-1.225605764,-1.277937574,0,7931.138886
0.1725879177,1.579091256,0.1599916136,-0.1186383261,0.2858261396,0,6569.017968
1.306001742,0.2193825014,-0.4109272308,1.10628871,0.4287564385,1,14065.6988
1.535755992,0.1832344372,-1.224469032,-1.368159199,1.650927932,0,3792.111886
1.723665721,-0.1795192133,-0.3831873211,1.461444292,-1.107045682,1,5566.649606
-0.894727019,0.6433267947,-0.3946051229,-0.00512186672,-0.1634428985,1,6750.085288
0.3375745488,1.407481861,0.0905849069,0.6439387933,-2.050172101,0,5682.998482
-0.04871840193,-0.8432302703,-1.21881306,-0.8781523669,-0.3341234407,1,9924.148009
0.9159025424,-1.326392718,0.03063149259,-0.4841694333,-0.3276730944,0,2542.057869
1.002757825,0.538115437,1.337398107,-0.1545056792,-0.6959426117,1,11123.69966
-0.2238588169,0.2424967913,0.1765733585,-1.084388072,0.09048978163,1,8151.551377
0.2282283301,2.517474038,1.876844611,-0.8532433506,-0.2873833615,0,9654.968338
-1.463442002,-0.590707014,0.3156050036,1.205853621,-0.7290838377,1,1442.837499
-0.6541464401,-2.14728903,-0.1626659205,-1.062414412,-0.5294394274,0,5001.977976
-0.8768607782,-0.09426255425,-1.757728391,-1.467045245,2.129247112,0,6022.892866
-1.287422581,-1.096785578,1.836913528,2.905067169,-1.171566629,0,3412.183033
-0.3682489568,0.3415555509,1.728697644,-0.9868570784,-0.2452778459,0,7266.47495
0.7773375761,0.4347660745,-0.3761560712,-0.1338229645,-1.374895808,1,8089.482932
-0.238173744,-0.26638749,0.2321698896,-0.5553272188,0.4715385225,1,5119.134821
1.012715818,0.1554293277,0.3517564084,0.05315534758,8.439309141e-05,0,6595.488619
-0.7215580335,0.3164942617,-0.09728659841,2.093168309,1.573354902,0,5682.556694
0.3858465526,-0.7630572097,-1.112411472,1.191142953,0.2627492251,0,3230.994863
0.4801434034,-1.744585987,0.9274384816,0.4544203382,-1.110430684,0,1733.148167
-0.4715248074,0.2637172044,0.05246679836,-0.2921711858,-0.1034882681,1,4513.216169
-0.2519773782,0.1525625121,1.471491973,-2.566658441,-0.2368502645,1,8648.930851
0.1765124214,0.2959939897,-0.3719145813,-1.756721782,0.3279954837,0,4332.780543
1.727350214,-1.533861405,0.8638280137,-0.3285252231,-0.06132434583,0,5572.325797
-1.052898511,-0.3344561724,1.300044595,0.582655242,1.732311605,0,5410.42616
1.177411889,0.4390866789,1.743934526,0.4389931587,0.8279881768,0,7716.399109
-0.2965709535,0.06654581586,-0.6974238233,0.9895839346,-1.178303623,0,6143.19744
0.7823503424,-0.1906510575,1.171247093,0.7508689887,1.820646158,1,8168.286235
0.7307746911,-1.572040256,-0.0669531729,-1.172007193,-0.5182798424,0,2992.175747
1.511228433,0.6375338109,-0.6989304286,-1.013717366,0.03278209288,1,9783.662518
-1.216560149,-0.6711402774,0.3120094716,1.155312036,0.6087614722,0,-1004.965036
-2.291289509,0.304366729,0.07203357323,0.4138902854,1.616209682,0,882.214275
-2.063238277,-0.5911034252,0.5909063228,-1.581594399,1.475949048,0,1629.821947
0.3683566127,0.8465839858,-0.5709436615,0.81376369,1.068471556,1,5141.531934
0.2328780201,0.2344008927,0.2703432393,-0.8633452647,-0.1475286802,0,6735.161634
-0.1525225325,0.3833938644,0.9998242469,-1.058536082,-0.1250090303,1,10055.04877
1.481455548,-0.7435882288,-0.8222500173,0.2023061918,0.8443851905,0,4727.854985
0.01142605556,1.32896059,0.8567939826,0.8418200669,0.5541165013,1,8837.657783
2.3276531,-0.2051616889,-2.003522292,1.604254362,-0.457699431,0,11461.69115
0.1078804443,1.309550685,-1.602259541,-1.251647214,-1.601277937,1,10143.99766
-0.79413629,0.439636606,0.5241878428,0.2762741793,-1.412765884,0,5297.4101
-2.310103437,0.05435358539,-0.4717760336,0.4593857717,0.7019536262,0,720.6718138
0.1382414321,0.7601330854,0.2292113741,0.5300647056,-0.7046732629,1,6080.177126
-0.1796114138,0.1967760967,0.8205284754,-0.3937411722,0.5211672557,1,5120.151216
-0.2658387919,-0.1175421673,0.829519042,-1.993060371,-1.296472328,0,6329.822149
-1.482185397,-2.33361612,-0.6782644402,0.7494338997,-0.2848840664,0,3727.830955
0.1977900819,1.089217497,1.327686132,-0.06913793473,1.35358589,1,8657.261397
0.09212665843,-0.8373982238,-0.5944003522,-1.480536513,-0.8881338537,0,1879.954579
-0.3580166881,0.8035850194,1.720769831,-1.382181515,0.3928274683,0,5004.26683
-1.040543939,0.4746970885,-0.1310866507,-1.830905826,0.9282969916,1,5201.268011
-0.6050007128,-0.5339002384,-1.069752411,-0.6542832767,0.4278904407,1,8803.412526
-0.1892443409,0.3286620023,0.3619218539,1.320661656,-0.3427861509,1,6798.689905
-1.476857817,1.067222417,-0.3314881721,1.114592445,0.3833771132,1,5260.53307
-0.1311375302,0.348775894,1.95101256,2.076980529,0.06938113513,1,11225.59355
0.1601905933,1.076240157,-0.8456610328,0.3330703726,-0.02586284795,0,5615.823183
0.3139082115,-0.8333688059,-1.589567493,-2.072983436,-1.117384113,1,8291.948243
-0.4586752849,-0.2931915866,1.937231162,1.10599337,-0.9620911163,0,4104.756363
0.3477084525,-0.4070782364,-0.284363838,0.1853256494,0.619171117,1,8505.013476
-0.3392584839,1.063851533,-1.141938226,0.006339062362,2.597673727,1,3463.666807
0.2230797426,1.433214507,0.09152017817,0.5807770953,-0.05678319439,0,7056.056356
-0.1704075812,-0.7794823967,0.430301359,-0.8515371892,0.6655852363,1,3820.315862
1.085287004,0.3665314072,-0.2862487336,0.4539655793,-0.3086730555,1,6946.601885
0.9355471255,-1.831406084,-0.3356073681,-1.990811995,-1.49506083,0,8609.742956
1.36386223,0.895184982,-0.7194802333,-1.502503456,-2.964528838,0,8445.682695
-0.5434955079,2.420415012,0.4348842715,-0.559572286,0.4650802095,1,5116.472164
-1.560958353,-0.2973233627,0.09947747302,-0.08610065182,0.7908061217,0,1606.142132
0.3446452262,0.6683260181,-0.6883722822,0.8978154084,1.628936948,1,9295.538837
-0.9701495197,-0.8876956557,1.335784336,-0.1913439867,1.403821392,1,4496.34824
-0.4425357119,1.455045576,0.1314858168,0.2582288233,1.564718022,1,4328.889188
-0.3617704774,-0.9411220959,-0.448564208,0.4523339506,-1.565759072,0,668.4298741
0.6374709027,-0.5387713176,1.147812661,-2.394260305,-0.7865657751,1,10604.97692
-1.686468151,-0.8262294664,0.2476659011,-0.1792266254,-0.2533775689,0,1332.400931
-0.1591848714,0.2033882406,-1.008536042,0.7068496409,0.6626659704,0,6116.111767
0.3850379377,0.5565334428,0.2964180008,2.035073303,-0.08709417105,0,4665.259349
-0.3070832183,-0.7535275804,-1.032262671,-1.244471788,-0.8887973132,1,5139.870268
-0.07068038165,0.3342951285,0.05114205855,-0.7655352774,0.900184564,1,8990.101486
0.7394126723,-0.1596483074,-0.6529161447,0.5484279208,0.1879735875,1,6697.572723
-1.448127259,-0.06798025598,0.2620358121,-0.8996947865,0.1898433928,0,1473.210983
-1.454822485,1.3361861,1.247949985,-0.2525173343,0.3634543378,0,7080.972695
-2.409921966,-1.15634766,-0.2937789202,-1.072133021,0.7143964826,0,-1614.518058
1.997296531,-1.176614719,-0.8374634041,0.2354483683,1.611116148,1,6692.692573
-1.222374313,0.2490361223,1.821298851,-1.651759148,-1.281069207,1,9273.917414
